id,account_id,branded_content_sponsor_account_id,message,title,platform,platform_id,post_url,subscriber_count,type,updated,video_length_ms,image_text,legacy_id,caption,link,date,description,score,live_video_status,last_modified_time,message_sha256_hash,language_code,post_id
549789|7605287756208574,549789,,"У п’ятницю, 17 червня, прем‘єр-міністр Великої Британії Борис Джонсон вдруге від початку повномасштабного вторгнення прибув до Києва. Глава Офісу президента Андрій Єрмак розповів, про що говорили президент Володимир Зеленський та прем’єр Британії Борис Джонсон. Так, за його словами, серед тем для обговорення були: 🔸необхідність постачання важкої зброї та систем ППО, 🔸економічна підтримка України, 🔸посилення санкційного тиску на Росію, 🔸гарантії безпеки для України, 🔸необхідність компенсації РФ збитків, завданих нашій державі. Окрім того, за його словами, обговорювалася перемога України у війні за незалежність. 💭– Ми дуже вдячні Британії за сильну підтримку. Як-то кажуть, друзі пізнаються у біді. У нас спільні цілі та розуміння, як їх досягти. Україна переможе із такими сильними союзниками, – резюмував він.",,Facebook,137683926302365_7605287756208574,https://www.facebook.com/137683926302365/posts/7605287756208574,,photo,2022-06-19 19:06:32-04,,,,,https://www.facebook.com/Fakty.ICTV/photos/a.2514727648597969/7605287632875253/?type=3,2022-06-17 00:00:00-04,,4.373873873873874,,2022-06-20 03:31:13.024883-04,631e8bc513e873c7e9477d77909b709383aafaccf46ad92120757d29b0be1990,,549789|7605287756208574
14526847|399126822255971,14526847,,"На Харківщині ворог не полишає спроб наступати, але ЗСУ міцно тримають оборону, знищуючи окупантів. На одному з напрямків ворог намагався атакувати, однак отримав по зубах. У результаті спільної роботи бійців ОМБр імені кошового отамана Івана Сірка, ОАБр імені Великого князя Вітовта та Чугуївського окремого батальйону Сил тероборони 19 червня 23 російських військовослужбовців було знешкоджено, більше 50 – поранено. 🔥Також ворог поніс втрати у техніці, зокрема знешкоджено або пошкоджено три танки Т-72, три РСЗВ, БТР-80, БМП-2, КАМАЗ та радіолокаційна станція. Незважаючи на те, що окупант укріплюється, мінує місцевість, застосовує артилерію і танки, а також постійно проводить розвідку БПЛА, наші захисники тримають стрій та завдають противнику втрат. Слава Україні!🇺🇦 Регіональне управління Сил територіальної оборони ""Схід"" ЗС України Харківська окрема бригада територіальної оборони #ЗСУ #stoprussia #StratCom",,Facebook,100064759688795_399126822255971,https://www.facebook.com/100064759688795/posts/399126822255971,,native_video,2022-06-25 04:32:02-04,91861,,,,https://www.facebook.com/AFUStratCom/videos/1393702601128582/,2022-06-22 00:00:00-04,,-1.4848484848484849,,2022-06-25 04:41:05.919902-04,253b8a5685ea6310b830439a263e4f59813205d831285fb961027cd695763b23,,14526847|399126822255971
2491790|1783068058694385,2491790,,Прямо з фронту! Радісна звістка – термінове звернення Арестовича: перемога на Донбасі. Переможемо!,Прямо з фронту! Радісна звістка – термінове звернення Арестовича: перемога на Донбасі. Переможемо! – Новини України,Facebook,429402727394265_1783068058694385,https://www.facebook.com/429402727394265/posts/1783068058694385,,link,2022-07-06 04:20:25-04,,,,timenews.net.ua,http://www.timenews.net.ua/pryamo-z-frontu-radisna-zvistka-terminove-zvernennya-arestovycha-peremoga-na-donbasi-peremozhemo/,2022-07-04 00:00:00-04,"Новини  Прямо з фронту! Радісна звістка – термінове звернення Арестовича: перемога на Донбасі. Переможемо! Липень 4, 2022 admin 0 коментарів Радник глави Офісу Президент...",-7.6,,2022-07-07 04:24:54.765302-04,b911478ea52d2547f12ad8f1a9793e181d61b0ac1296be5030aa5c5ce846f94f,,2491790|1783068058694385
2296559|5437022569675538,2296559,,"СБУ каже, що ліквідувала мережу агентів ФСБ росії. За нашою інформацією, це так звані ""журналісти"" херсонського колаборанта Кирила Стрємоусова.","СБУ затримала мережу ""журналістів"" херсонського колаборанта Стремоусова",Facebook,123354027709112_5437022569675538,https://www.facebook.com/123354027709112/posts/5437022569675538,,link,2022-06-20 03:00:13-04,,,,imi.org.ua,https://imi.org.ua/news/sbu-zatrymala-merezhu-zhurnalistiv-hersonskogo-kolaboranta-stremousova-i46267,2022-06-17 00:00:00-04,"Служба безпеки України повідомила про нейтралізацію у декількох областях розгалуженої агентурної мережі ФСБ росії, яку координував радник так званого “очільн....",1.2564102564102564,,2022-06-20 03:53:46.450728-04,c5d8d018014308e69fa190da4f7d3ddf67179328cd44777d926b3f5ef74dfff3,,2296559|5437022569675538
2614358|1133481920640255,2614358,,"З Севастополя в море вийшов старий десантний корабель, який не покидав бухту з квітня – ЗМІ","З Севастополя в море вийшов старий десантний корабель, який не покидав бухту з квітня - ЗМІ",Facebook,139977769990680_1133481920640255,https://www.facebook.com/139977769990680/posts/1133481920640255,,link,2022-07-04 08:39:09-04,,,,merezha.co,https://merezha.co/z-sevastopolya-v-more-vyjshov-staryj-desantnyj-korabel-yakyj-ne-pokydav-buhtu-z-kvitnya-zmi/?utm_source=dlvr.it&utm_medium=facebook,2022-07-02 00:00:00-04,Корабель відійшов від місця швартування в Південній бухті і вийшов за бонові ворота Севастопольської бухти. Із Севастополя близько 13:30 1 липня вийшов,1.4679802955665024,,2022-07-05 04:20:42.656194-04,3200878e408fdb2f07b383af756ead7a183a32191b7b28b6503515ac1be06528,,2614358|1133481920640255
13577734|352419140310324,13577734,,"""Коли ми вб'ємо 100.000 росіян, у рф прийдуть до тями"": БОРИС ФІЛАТОВ у Рандеву з Яніною Соколовою YouTube: https://youtu.be/xUej1S7GCnY",,Facebook,100063623107454_352419140310324,https://www.facebook.com/100063623107454/posts/352419140310324,,native_video,2022-06-21 03:24:45-04,3072874,,,,https://www.facebook.com/Randevu.5.ua/videos/352419140310324/,2022-06-18 00:00:00-04,,-1.5416666666666667,,2022-06-21 03:47:28.202668-04,1303f34a59ade5c48c3d4ad58493813d9db3004818c6f388d17f73f259df3258,,13577734|352419140310324
2554935|10159323536537362,2554935,,Казахстан ще проправя нови пътища за петрола си,Казахстан ще проправя нови пътища за петрола си | Investor.bg,Facebook,26327487361_10159323536537362,https://www.facebook.com/26327487361/posts/10159323536537362,,link,2022-07-09 15:33:09-04,,,,investor.bg,https://www.investor.bg/surovini/365/a/kazahstan-shte-propravia-novi-pytishta-za-petrola-si-355725/,2022-07-07 00:00:00-04,"Преди ден руски съд спря дейността на един от основните терминали, който използва страната за износ на петрол",14.844444444444445,,2022-07-10 04:31:24.128988-04,830707be9abf93e4a03b8797b854c3ecab7d70bc480d698dd97b843e1aacfc77,,2554935|10159323536537362
15331015|568880891278620,15331015,,,,Facebook,100044701411772_568880891278620,https://www.facebook.com/100044701411772/posts/568880891278620,,photo,2022-07-08 01:47:25-04,,,,,https://www.facebook.com/tet.tv/photos/a.2241142879250675/5514583785239885/?type=3,2022-07-06 00:00:00-04,"Наші герої виглядають так!

Незламні чоловіки та жінки, які кожен день рятують життя 🙏

Бережіть себе 💙💛",-2.074074074074074,,2022-07-08 03:18:14.042678-04,,,15331015|568880891278620
11981784|1459388064520604,11981784,,#ВечерМК,"Во мај во Албанија влегле милион посетители, за пет месеци 3,45 милиони | Вечер ...1963 | Vecer MK",Facebook,354512775008144_1459388064520604,https://www.facebook.com/354512775008144/posts/1459388064520604,,link,2022-07-01 06:30:40-04,,,,vecer.press,https://www.vecer.press/%d0%b2%d0%be-%d0%bc%d0%b0%d1%98-%d0%b2%d0%be-%d0%b0%d0%bb%d0%b1%d0%b0%d0%bd%d0%b8%d1%98%d0%b0-%d0%b2%d0%bb%d0%b5%d0%b3%d0%bb%d0%b5-%d0%bc%d0%b8%d0%bb%d0%b8%d0%be%d0%bd-%d0%bf%d0%be%d1%81%d0%b5%d1%82/,2022-06-29 00:00:00-04,"ЕКОНОМИЈА Во мај во Албанија влегле милион посетители, за пет месеци 3,45 милиони Од страна на Вечер - 29/06/2022 - 12:29 0 Сподели Facebook Twitter Google+ Pinterest WhatsApp Email Print Viber Во мај во А....",-32,,2022-07-02 04:47:56.268833-04,3f3d3e2770309a08d35fe17e467134bff1c133b4dc59019f45da625d4c21f74b,,11981784|1459388064520604
16577395|1239558020123031,16577395,,Львів’ян кличуть плести маскувальні сітки в парк «На Валах»,Львів’ян кличуть плести маскувальні сітки в парк «На Валах» - LvivNEWS,Facebook,365831607495681_1239558020123031,https://www.facebook.com/365831607495681/posts/1239558020123031,,link,2022-06-23 08:03:12-04,,,,news.lviv-company.in.ua,https://news.lviv-company.in.ua/lvivyan-klichut-plesti-maskuvalni-sitki-v-park-na-valax.html,2022-06-21 00:00:00-04,"У п’ятницю, 22 червня, львів’ян закликають долучитись до плетіння маскувальних сіток у парку «На Вал",-26,,2022-06-24 04:53:47.484416-04,6d46043418d066c19ebb5cf0ac96b8a50c04b9a338fc58e3960bfbffa9bfb9f3,,16577395|1239558020123031
